datetime,1A-NorthZone-DBT
2021-08-16 09:30:00,22.666729566666667
2021-08-16 09:45:00,22.039006991666664
2021-08-16 10:00:00,21.717894049999995
2021-08-16 10:15:00,21.596483191666657
2021-08-16 10:30:00,21.458877341666657
2021-08-16 10:45:00,21.456540333333333
2021-08-16 11:00:00,21.38445803333333
2021-08-16 11:15:00,21.361117566666664
2021-08-16 11:30:00,21.380306383333338
2021-08-16 11:45:00,21.340736883333324
2021-08-16 12:00:00,21.37576489166667
2021-08-16 12:15:00,21.397967425
2021-08-16 12:30:00,21.398960850000005
2021-08-16 12:45:00,21.50283908333333
2021-08-16 13:00:00,21.475375608333337
2021-08-16 13:15:00,21.46109330833333
2021-08-16 13:30:00,21.536730825
2021-08-16 13:45:00,21.542243333333325
2021-08-16 14:00:00,21.575705700000004
2021-08-16 14:15:00,21.63795585833333
2021-08-16 14:30:00,21.69894489166668
2021-08-16 14:45:00,21.770107258333333
2021-08-16 15:00:00,21.782654333333326
2021-08-16 15:15:00,21.83309810833333
2021-08-16 15:30:00,21.924279899999995
2021-08-16 15:45:00,21.91546460833333
2021-08-16 16:00:00,21.97648995833333
2021-08-16 16:15:00,21.988837808333336
2021-08-16 16:30:00,22.061654741666665
2021-08-16 16:45:00,22.13659654166666
2021-08-16 17:00:00,22.118959383333333
2021-08-16 17:15:00,22.11555322499999
2021-08-16 17:30:00,22.08696089166667
2021-08-16 17:45:00,22.128953475
2021-08-16 18:00:00,22.14261969166667
2021-08-16 18:15:00,21.87112968333333
2021-08-16 18:30:00,21.67056875
2021-08-16 18:45:00,21.5280025
2021-08-16 19:00:00,21.386327450000003
2021-08-16 19:15:00,21.26874313333333
2021-08-16 19:30:00,21.105344958333337
2021-08-16 19:45:00,20.927505775
2021-08-16 20:00:00,20.88902930833334
2021-08-16 20:15:00,21.158246408333337
2021-08-16 20:30:00,21.231960325
2021-08-16 20:45:00,21.25842962499999
2021-08-16 21:00:00,21.216715850000003
2021-08-16 21:15:00,21.219094216666665
2021-08-16 21:30:00,21.261544333333333
2021-08-16 21:45:00,21.293872175
2021-08-16 22:00:00,21.321530925
2021-08-16 22:15:00,20.700128816666663
2021-08-16 22:30:00,20.40715060833334
2021-08-16 22:45:00,20.244679141666666
2021-08-16 23:00:00,20.083849050000005
2021-08-16 23:15:00,19.985136125
2021-08-16 23:30:00,19.87762575
2021-08-16 23:45:00,19.765371291666675
2021-08-17 00:00:00,19.729525025
2021-08-17 00:15:00,19.628077166666667
2021-08-17 00:30:00,19.563277183333337
2021-08-17 00:45:00,19.466346825
2021-08-17 01:00:00,19.40545550000001
2021-08-17 01:15:00,19.38330995
2021-08-17 01:30:00,19.32554825833334
2021-08-17 01:45:00,19.213120758333336
2021-08-17 02:00:00,19.227311741666668
2021-08-17 02:15:00,19.141567958333333
2021-08-17 02:30:00,19.086258808333337
2021-08-17 02:45:00,19.0753818
2021-08-17 03:00:00,18.978621541666666
2021-08-17 03:15:00,18.929080725
2021-08-17 03:30:00,18.93646508333333
2021-08-17 03:45:00,18.84731798333333
2021-08-17 04:00:00,18.830613300000003
2021-08-17 04:15:00,18.790166233333327
2021-08-17 04:30:00,18.765963391666663
2021-08-17 04:45:00,18.684948700000003
2021-08-17 05:00:00,18.674313925
2021-08-17 05:15:00,18.630715958333333
2021-08-17 05:30:00,18.59847629166667
2021-08-17 05:45:00,18.551176600000005
2021-08-17 06:00:00,18.516193691666665
2021-08-17 06:15:00,19.31603704166666
2021-08-17 06:30:00,19.95273805
2021-08-17 06:45:00,20.190218
2021-08-17 07:00:00,20.10884791666667
2021-08-17 07:15:00,20.30067639166667
2021-08-17 07:30:00,20.64185088333333
2021-08-17 07:45:00,20.90800287499999
2021-08-17 08:00:00,21.06749899999999
2021-08-17 08:15:00,21.27384958333333
2021-08-17 08:30:00,21.465859975000004
2021-08-17 08:45:00,21.581677650000007
2021-08-17 09:00:00,21.641405650000003
2021-08-17 09:15:00,22.109093825
2021-08-17 09:30:00,22.29035038333333
2021-08-17 09:45:00,22.604564216666656
2021-08-17 10:00:00,22.087379916666663
2021-08-17 10:15:00,21.68213575
2021-08-17 10:30:00,21.54235669166666
2021-08-17 10:45:00,21.471260675
2021-08-17 11:00:00,21.44440183333335
2021-08-17 11:15:00,21.448468308333336
2021-08-17 11:30:00,21.46078620833333
2021-08-17 11:45:00,21.453966708333336
2021-08-17 12:00:00,21.50589558333333
2021-08-17 12:15:00,21.46813315833334
2021-08-17 12:30:00,21.460268208333325
2021-08-17 12:45:00,21.461754425
2021-08-17 13:00:00,21.505429899999992
2021-08-17 13:15:00,21.49865701666668
2021-08-17 13:30:00,21.52018545
2021-08-17 13:45:00,21.507557191666663
2021-08-17 14:00:00,21.532703200000004
2021-08-17 14:15:00,21.527291466666664
2021-08-17 14:30:00,21.571286
2021-08-17 14:45:00,21.603811800000003
2021-08-17 15:00:00,21.71687236666667
2021-08-17 15:15:00,21.703760675
2021-08-17 15:30:00,21.765805616666672
2021-08-17 15:45:00,21.802954516666663
2021-08-17 16:00:00,21.85913268333333
2021-08-17 16:15:00,21.86174365
2021-08-17 16:30:00,21.885583566666664
2021-08-17 16:45:00,21.92805021666668
2021-08-17 17:00:00,22.031986000000003
2021-08-17 17:15:00,22.137986450000003
2021-08-17 17:30:00,22.19848582500001
2021-08-17 17:45:00,22.185659699999995
2021-08-17 18:00:00,22.218999416666662
2021-08-17 18:15:00,22.029066566666668
2021-08-17 18:30:00,21.680532358333327
2021-08-17 18:45:00,21.48999565833333
2021-08-17 19:00:00,21.44862678333334
2021-08-17 19:15:00,21.419271625
2021-08-17 19:30:00,21.42084938333334
2021-08-17 19:45:00,21.39161819166668
2021-08-17 20:00:00,21.273037591666675
2021-08-17 20:15:00,21.15335225
2021-08-17 20:30:00,20.941623266666667
2021-08-17 20:45:00,20.87066598333332
2021-08-17 21:00:00,21.033681683333327
2021-08-17 21:15:00,21.141042774999995
2021-08-17 21:30:00,21.24970575
2021-08-17 21:45:00,21.32162996666667
2021-08-17 22:00:00,21.32883892499999
2021-08-17 22:15:00,20.704943316666668
2021-08-17 22:30:00,20.387982266666665
2021-08-17 22:45:00,20.23372028333333
2021-08-17 23:00:00,20.063531225
2021-08-17 23:15:00,19.97400993333333
2021-08-17 23:30:00,19.87713898333333
2021-08-17 23:45:00,19.754000575000003
2021-08-18 00:00:00,19.660782116666667
2021-08-18 00:15:00,19.654097391666667
2021-08-18 00:30:00,19.542803000000003
2021-08-18 00:45:00,19.472392258333336
2021-08-18 01:00:00,19.42752188333334
2021-08-18 01:15:00,19.386093125
2021-08-18 01:30:00,19.27550354166667
2021-08-18 01:45:00,19.26417986666667
2021-08-18 02:00:00,19.197719600000006
2021-08-18 02:15:00,19.14089865833333
2021-08-18 02:30:00,19.1317266
2021-08-18 02:45:00,19.0731533
2021-08-18 03:00:00,18.977994666666657
2021-08-18 03:15:00,18.953076249999995
2021-08-18 03:30:00,18.930814833333333
2021-08-18 03:45:00,18.88768735833333
2021-08-18 04:00:00,18.880916216666662
2021-08-18 04:15:00,18.75923330833333
2021-08-18 04:30:00,18.705836275
2021-08-18 04:45:00,18.686962524999995
2021-08-18 05:00:00,18.70871675833333
2021-08-18 05:15:00,18.589473700000006
2021-08-18 05:30:00,18.589701741666666
2021-08-18 05:45:00,18.535052850000003
2021-08-18 06:00:00,18.480132125000004
