datetime,1B-El-AHU
2021-08-14 23:45:00,96.22803548333331
2021-08-15 00:00:00,96.48229364807692
2021-08-15 00:15:00,96.32602388939394
2021-08-15 00:30:00,96.47321897083334
2021-08-15 00:45:00,96.40620665705129
2021-08-15 01:00:00,96.42450036217949
2021-08-15 01:15:00,96.51255575297618
2021-08-15 01:30:00,96.44759230576923
2021-08-15 01:45:00,96.36699190625
2021-08-15 02:00:00,96.3553752401515
2021-08-15 02:15:00,96.21142455454546
2021-08-15 02:30:00,96.33949355486112
2021-08-15 02:45:00,96.3469809423077
2021-08-15 03:00:00,96.1458968
2021-08-15 03:15:00,96.15608052777776
2021-08-15 03:30:00,96.17072649666666
2021-08-15 03:45:00,96.24732634621212
2021-08-15 04:00:00,96.18044618819444
2021-08-15 04:15:00,96.19050406602564
2021-08-15 04:30:00,96.3127649298611
2021-08-15 04:45:00,96.21113485897436
2021-08-15 05:00:00,96.16336619821428
2021-08-15 05:15:00,96.09474620694444
2021-08-15 05:30:00,96.26224012692307
2021-08-15 05:45:00,96.08852381515152
2021-08-15 06:00:00,96.07643063472224
2021-08-15 06:15:00,95.9864711647436
2021-08-15 06:30:00,96.1548635827381
2021-08-15 06:45:00,96.13798453680556
2021-08-15 07:00:00,96.20437172564104
2021-08-15 07:15:00,111.412465975
2021-08-15 07:30:00,164.38915294416668
2021-08-15 07:45:00,189.9340023901516
2021-08-15 08:00:00,212.47273941111112
2021-08-15 08:15:00,206.36797561583336
2021-08-15 08:30:00,202.0549501348485
2021-08-15 08:45:00,173.54641399583332
2021-08-15 09:00:00,163.26078765512824
2021-08-15 09:15:00,146.05288627954545
2021-08-15 09:30:00,129.43476359583337
2021-08-15 09:45:00,120.74526773333334
2021-08-15 10:00:00,115.39292288333333
2021-08-15 10:15:00,111.08810873141026
2021-08-15 10:30:00,108.12088054761904
2021-08-15 10:45:00,106.33731224027775
2021-08-15 11:00:00,106.75552538055554
2021-08-15 11:15:00,120.72554058012818
2021-08-15 11:30:00,161.68946852272728
2021-08-15 11:45:00,190.57834001875
2021-08-15 12:00:00,207.79663545897435
2021-08-15 12:15:00,223.3688565589286
2021-08-15 12:30:00,218.6615034368056
2021-08-15 12:45:00,204.2353616159722
2021-08-15 13:00:00,219.51285764833327
2021-08-15 13:15:00,245.19114180757572
2021-08-15 13:30:00,222.1711878361111
2021-08-15 13:45:00,202.4100952397436
2021-08-15 14:00:00,204.6448493378788
2021-08-15 14:15:00,216.05407427430555
2021-08-15 14:30:00,246.40021626597223
2021-08-15 14:45:00,235.2602178125
2021-08-15 15:00:00,244.2018454548611
2021-08-15 15:15:00,218.72371878782053
2021-08-15 15:30:00,193.91777564166665
2021-08-15 15:45:00,167.95531673988097
2021-08-15 16:00:00,177.40233437430552
2021-08-15 16:15:00,192.89375094487173
2021-08-15 16:30:00,175.99224027045454
2021-08-15 16:45:00,197.61462613541667
2021-08-15 17:00:00,190.8746364769231
2021-08-15 17:15:00,209.2205014190476
2021-08-15 17:30:00,195.94083158888887
2021-08-15 17:45:00,189.1870375993056
2021-08-15 18:00:00,179.62833883888888
2021-08-15 18:15:00,156.57964709551285
2021-08-15 18:30:00,140.10690636742424
2021-08-15 18:45:00,130.97173159444444
2021-08-15 19:00:00,122.79885052307692
2021-08-15 19:15:00,114.53235828409088
2021-08-15 19:30:00,107.7084022347222
2021-08-15 19:45:00,104.29533466041666
2021-08-15 20:00:00,101.4678224159091
2021-08-15 20:15:00,99.29256956597222
2021-08-15 20:30:00,97.49615998846154
2021-08-15 20:45:00,96.14045647916667
2021-08-15 21:00:00,95.32969305555557
2021-08-15 21:15:00,95.19440143589745
2021-08-15 21:30:00,95.1553536952381
2021-08-15 21:45:00,95.343356775
2021-08-15 22:00:00,95.33187761538464
2021-08-15 22:15:00,95.32151178076924
2021-08-15 22:30:00,95.51505530378788
2021-08-15 22:45:00,95.556932225
2021-08-15 23:00:00,95.595149375641
2021-08-15 23:15:00,95.69520958653848
2021-08-15 23:30:00,95.58177786212124
2021-08-15 23:45:00,95.60621944513888
2021-08-16 00:00:00,95.65560848333332
2021-08-16 00:15:00,95.56356306416669
2021-08-16 00:30:00,95.57833545984847
2021-08-16 00:45:00,95.42949040208332
2021-08-16 01:00:00,95.5759903060606
2021-08-16 01:15:00,138.59842821089745
2021-08-16 01:30:00,150.97921901363637
2021-08-16 01:45:00,161.04882314861112
2021-08-16 02:00:00,170.12303887115382
2021-08-16 02:15:00,178.06183152243588
2021-08-16 02:30:00,184.74295623511904
2021-08-16 02:45:00,190.5474723762821
2021-08-16 03:00:00,195.24070901309528
2021-08-16 03:15:00,199.7743462520833
2021-08-16 03:30:00,203.27479340902772
2021-08-16 03:45:00,205.68409024038465
2021-08-16 04:00:00,208.0900116309524
2021-08-16 04:15:00,209.5318329305556
2021-08-16 04:30:00,210.81176131602567
2021-08-16 04:45:00,212.44474517166668
2021-08-16 05:00:00,213.2011299484849
2021-08-16 05:15:00,213.92865704652772
2021-08-16 05:30:00,215.25209024666665
2021-08-16 05:45:00,215.5318945060606
2021-08-16 06:00:00,215.9744680708333
2021-08-16 06:15:00,215.6432219380952
2021-08-16 06:30:00,216.6517015215278
2021-08-16 06:45:00,216.9533603680556
2021-08-16 07:00:00,217.05049338653848
2021-08-16 07:15:00,256.8701465878788
2021-08-16 07:30:00,268.2566346659722
2021-08-16 07:45:00,253.29510330128204
2021-08-16 08:00:00,214.56918878214287
2021-08-16 08:15:00,219.06457105
2021-08-16 08:30:00,222.14007186730765
2021-08-16 08:45:00,221.40706994358973
