datetime,1B-Th-Chilled Water
2021-08-16 07:00:00,-3.598901718649389
2021-08-16 07:15:00,-3.557801571382974
2021-08-16 07:30:00,-3.3719898402461967
2021-08-16 07:45:00,-3.1773818215070886
2021-08-16 08:00:00,-3.120125268002571
2021-08-16 08:15:00,-2.7773296819963886
2021-08-16 08:30:00,-2.504925976136628
2021-08-16 08:45:00,-2.126594557288213
2021-08-16 09:00:00,-2.00200852067708
2021-08-16 09:15:00,-1.586104289343601
2021-08-16 09:30:00,-1.2143856046881016
2021-08-16 09:45:00,-1.1540534714870692
2021-08-16 10:00:00,-1.2801857862019486
2021-08-16 10:15:00,-1.135552939905282
2021-08-16 10:30:00,-0.8133364311100671
2021-08-16 10:45:00,-3789.28618417424
2021-08-16 11:00:00,-2017.359496895437
2021-08-16 11:15:00,-1312.3625362063908
2021-08-16 11:30:00,-422.8138116592915
2021-08-16 11:45:00,-73.56519101040226
2021-08-16 12:00:00,-1408.130894162556
2021-08-16 12:15:00,-2138.8661806398395
2021-08-16 12:30:00,-2666.880476020352
2021-08-16 12:45:00,-2791.4938714600794
2021-08-16 13:00:00,-2665.498810015656
2021-08-16 13:15:00,-2174.3144601577483
2021-08-16 13:30:00,-1851.6948852224727
2021-08-16 13:45:00,-1970.7937501056183
2021-08-16 14:00:00,-2041.651348754456
2021-08-16 14:15:00,-901.665410821584
2021-08-16 14:30:00,-544.5221133908598
2021-08-16 14:45:00,-658.7963622757447
2021-08-16 15:00:00,-2416.844907796919
2021-08-16 15:15:00,-951.8965568930016
2021-08-16 15:30:00,-1747.124170240792
2021-08-16 15:45:00,-1855.6667716099232
2021-08-16 16:00:00,-1579.3706134984184
2021-08-16 16:15:00,-1097.4255132155706
2021-08-16 16:30:00,-638.0780758391859
2021-08-16 16:45:00,-741.5256353375968
2021-08-16 17:00:00,-1630.3591846829377
2021-08-16 17:15:00,-1648.427750948769
2021-08-16 17:30:00,-803.4382075893142
2021-08-16 17:45:00,-491.8005087344391
2021-08-16 18:00:00,-1720.1815343382773
2021-08-16 18:15:00,-3895.1311742606817
2021-08-16 18:30:00,-4277.465136113721
2021-08-16 18:45:00,-2994.7104843900484
2021-08-16 19:00:00,-2009.7071582068245
2021-08-16 19:15:00,-1365.1861316517309
2021-08-16 19:30:00,-1112.3203127263705
2021-08-16 19:45:00,-844.1302077329784
2021-08-16 20:00:00,-739.0360218351541
2021-08-16 20:15:00,-679.5668009520153
2021-08-16 20:30:00,-554.9165772619648
2021-08-16 20:45:00,-675.5558738700967
2021-08-16 21:00:00,-519.3428494175785
2021-08-16 21:15:00,
2021-08-16 21:30:00,
2021-08-16 21:45:00,-20.42490439507968
