datetime,1B-MidZone-TCS9-DBT
2021-08-14 23:45:00,
2021-08-15 00:00:00,20.22625234730407
2021-08-15 00:15:00,20.16265225280484
2021-08-15 00:30:00,20.07809276793188
2021-08-15 00:45:00,20.03494546261556
2021-08-15 01:00:00,19.9685466443961
2021-08-15 01:15:00,19.99636266378775
2021-08-15 01:30:00,20.044616461930616
2021-08-15 01:45:00,20.146793069630405
2021-08-15 02:00:00,20.234178301727923
2021-08-15 02:15:00,20.30571215814524
2021-08-15 02:30:00,20.37214375667424
2021-08-15 02:45:00,20.43297094233031
2021-08-15 03:00:00,20.515252456538576
2021-08-15 03:15:00,20.5863369950726
2021-08-15 03:30:00,20.61749534794268
2021-08-15 03:45:00,20.650966581740303
2021-08-15 04:00:00,20.66583037464369
2021-08-15 04:15:00,20.71464445546343
2021-08-15 04:30:00,20.72951821368582
2021-08-15 04:45:00,20.770897210435976
2021-08-15 05:00:00,20.79879628332003
2021-08-15 05:15:00,20.814140818775115
2021-08-15 05:30:00,20.847615980079183
2021-08-15 05:45:00,20.862961217320844
2021-08-15 06:00:00,20.868076407925457
2021-08-15 06:15:00,20.895986728060223
2021-08-15 06:30:00,20.890870939044817
2021-08-15 06:45:00,20.903884316863696
2021-08-15 07:00:00,20.921566526180584
2021-08-15 07:15:00,21.377536185629992
2021-08-15 07:30:00,21.807622865880035
2021-08-15 07:45:00,21.94610771786631
2021-08-15 08:00:00,21.992282725320138
2021-08-15 08:15:00,22.26676534275009
2021-08-15 08:30:00,22.59321631110504
2021-08-15 08:45:00,22.886461559261026
2021-08-15 09:00:00,23.11058684008907
2021-08-15 09:15:00,23.44056243620213
2021-08-15 09:30:00,23.67287300355315
2021-08-15 09:45:00,23.84856742726123
2021-08-15 10:00:00,23.982925276915697
2021-08-15 10:15:00,24.076164441416665
2021-08-15 10:30:00,23.84856742726123
2021-08-15 10:45:00,23.786540440906663
2021-08-15 11:00:00,23.784017472619382
2021-08-15 11:15:00,23.86143541372303
2021-08-15 11:30:00,23.93383309470965
2021-08-15 11:45:00,24.003621474173883
2021-08-15 12:00:00,23.884758617660168
2021-08-15 12:15:00,23.7736821933168
2021-08-15 12:30:00,23.67817250468704
2021-08-15 12:45:00,23.67803835333717
2021-08-15 13:00:00,23.68850241779949
2021-08-15 13:15:00,23.572100965579462
2021-08-15 13:30:00,23.3373931399737
2021-08-15 13:45:00,23.229116618569662
2021-08-15 14:00:00,23.16974829354092
2021-08-15 14:15:00,23.260047481231936
2021-08-15 14:30:00,23.4121039324242
2021-08-15 14:45:00,23.4740242554181
2021-08-15 15:00:00,23.47668313865131
2021-08-15 15:15:00,23.450882026267323
2021-08-15 15:30:00,23.466362326651165
2021-08-15 15:45:00,23.569739085357128
2021-08-15 16:00:00,23.61089873078504
2021-08-15 16:15:00,23.72188440273624
2021-08-15 16:30:00,23.80204541439298
2021-08-15 16:45:00,23.84856742726123
2021-08-15 17:00:00,23.94164369451613
2021-08-15 17:15:00,23.91853093401295
2021-08-15 17:30:00,23.874417613471
2021-08-15 17:45:00,23.83305890395337
2021-08-15 18:00:00,23.763347435307764
2021-08-15 18:15:00,23.63671912398945
2021-08-15 18:30:00,23.61355136327597
2021-08-15 18:45:00,23.582427441830475
2021-08-15 19:00:00,23.595408009444785
2021-08-15 19:15:00,23.58257242896065
2021-08-15 19:30:00,23.494823197908545
2021-08-15 19:45:00,23.430243333047088
2021-08-15 20:00:00,23.44056243620213
2021-08-15 20:15:00,23.46652044452009
2021-08-15 20:30:00,23.51030575228544
2021-08-15 20:45:00,23.54392977802325
2021-08-15 21:00:00,23.528445687098724
2021-08-15 21:15:00,23.396792602547805
2021-08-15 21:30:00,23.28067039607447
2021-08-15 21:45:00,23.139022992765376
2021-08-15 22:00:00,23.03846770880904
2021-08-15 22:15:00,22.94062659235783
2021-08-15 22:30:00,22.868558336614
2021-08-15 22:45:00,22.798967011525804
2021-08-15 23:00:00,22.74751387975317
2021-08-15 23:15:00,22.67574446895009
2021-08-15 23:30:00,22.631908377469586
2021-08-15 23:45:00,22.56532831343094
2021-08-16 00:00:00,22.536926492307146
2021-08-16 00:15:00,22.490669919566244
2021-08-16 00:30:00,22.44685371327404
2021-08-16 00:45:00,22.431438204442657
2021-08-16 01:00:00,22.3954720314456
2021-08-16 01:15:00,22.375203496008908
2021-08-16 01:30:00,22.36707496465812
2021-08-16 01:45:00,22.35194711805792
2021-08-16 02:00:00,22.32112920390432
2021-08-16 02:15:00,22.29302775809981
2021-08-16 02:30:00,22.282757462613063
2021-08-16 02:45:00,22.24409900266852
2021-08-16 03:00:00,22.218127651448697
2021-08-16 03:15:00,22.19034123749259
2021-08-16 03:30:00,22.16467525087461
2021-08-16 03:45:00,22.131158296496665
2021-08-16 04:00:00,22.10036374825779
2021-08-16 04:15:00,22.090099599083203
2021-08-16 04:30:00,22.066848402002904
2021-08-16 04:45:00,22.04391522379467
2021-08-16 05:00:00,22.023391074243023
2021-08-16 05:15:00,22.00527195567236
2021-08-16 05:30:00,21.97481500694528
2021-08-16 05:45:00,21.959097660049167
2021-08-16 06:00:00,21.94130805495757
2021-08-16 06:15:00,21.905068943673427
2021-08-16 06:30:00,21.90027457545517
2021-08-16 06:45:00,21.8821555306796
2021-08-16 07:00:00,21.84386212285358
2021-08-16 07:15:00,21.92591987900181
2021-08-16 07:30:00,22.031247612476363
2021-08-16 07:45:00,22.15923649992692
2021-08-16 08:00:00,22.24923370735433
2021-08-16 08:15:00,22.47768733229691
2021-08-16 08:30:00,22.73232112492167
