datetime,1A-Th-Chilled Water
2021-08-16 06:30:00,-1579.000078425169
2021-08-16 06:45:00,-1313.5124099084353
2021-08-16 07:00:00,-1249.3618832222842
2021-08-16 07:15:00,-1771.4642882055327
2021-08-16 07:30:00,-2080.299436166003
2021-08-16 07:45:00,-2049.9993354054413
2021-08-16 08:00:00,-2075.477584581579
2021-08-16 08:15:00,-2155.762324373308
2021-08-16 08:30:00,-2073.446326906583
2021-08-16 08:45:00,-2086.5470476710034
2021-08-16 09:00:00,-1817.04039982062
2021-08-16 09:15:00,-1782.1220751522296
2021-08-16 09:30:00,-1544.084093945581
2021-08-16 09:45:00,-1296.629068722874
2021-08-16 10:00:00,-1559.561762959149
2021-08-16 10:15:00,-1594.1612740024218
2021-08-16 10:30:00,-1768.8110637363825
2021-08-16 10:45:00,-1517.0961266734848
2021-08-16 11:00:00,-1308.391145068241
2021-08-16 11:15:00,-1587.6482082282623
2021-08-16 11:30:00,-1599.43914062178
2021-08-16 11:45:00,-1572.5483002533017
2021-08-16 12:00:00,-1748.253669277197
2021-08-16 12:15:00,-1632.1448999941722
2021-08-16 12:30:00,-2044.696211057356
2021-08-16 12:45:00,-2215.8250170954093
2021-08-16 13:00:00,-2017.169290300189
2021-08-16 13:15:00,-2293.7145382145577
2021-08-16 13:30:00,-2358.147779340961
2021-08-16 13:45:00,-2346.7503132024463
2021-08-16 14:00:00,-2250.984843851558
2021-08-16 14:15:00,-1734.391069723113
2021-08-16 14:30:00,-1772.2746784369135
2021-08-16 14:45:00,-1737.5590419408225
2021-08-16 15:00:00,-1775.091506270028
2021-08-16 15:15:00,-1415.5320015854863
2021-08-16 15:30:00,-2072.3351533860387
2021-08-16 15:45:00,-2113.468810372953
2021-08-16 16:00:00,-1731.0195808323433
2021-08-16 16:15:00,-1913.1102659601784
2021-08-16 16:30:00,-1465.1848766218222
2021-08-16 16:45:00,-1723.939042289346
2021-08-16 17:00:00,-1689.5387527196942
2021-08-16 17:15:00,-1680.4588807997131
2021-08-16 17:30:00,-1293.0118972309608
2021-08-16 17:45:00,-1483.761499016311
2021-08-16 18:00:00,-1301.3117704908716
2021-08-16 18:15:00,-1907.947594103367
2021-08-16 18:30:00,-1863.966395824962
2021-08-16 18:45:00,-1520.5687426631664
2021-08-16 19:00:00,-1426.2960870096151
2021-08-16 19:15:00,-1399.8428165731373
2021-08-16 19:30:00,-1448.153147024089
2021-08-16 19:45:00,-1599.3823813176657
2021-08-16 20:00:00,-1452.9613389066074
2021-08-16 20:15:00,-1408.997393293241
2021-08-16 20:30:00,-1421.0461391636018
2021-08-16 20:45:00,-1262.329296548034
2021-08-16 21:00:00,-1337.2648745231195
2021-08-16 21:15:00,
2021-08-16 21:30:00,
2021-08-16 21:45:00,-1231.0607938523312
2021-08-16 22:00:00,-848.7940872184242
2021-08-16 22:15:00,-1244.3700015914346
2021-08-16 22:30:00,-1364.952508938376
2021-08-16 22:45:00,-1262.187752071308
2021-08-16 23:00:00,-1286.967890916869
2021-08-16 23:15:00,-1499.3874883594196
2021-08-16 23:30:00,-1491.4009222771335
2021-08-16 23:45:00,-1210.8321349431865
2021-08-17 00:00:00,-1144.2549897975755
2021-08-17 00:15:00,-1368.565302983466
2021-08-17 00:30:00,-1421.0961154749496
2021-08-17 00:45:00,-1184.4460664090557
2021-08-17 01:00:00,-1381.0710904590812
2021-08-17 01:15:00,-1132.9192124398703
2021-08-17 01:30:00,-1187.3322000612677
2021-08-17 01:45:00,-1075.8785853335305
2021-08-17 02:00:00,-1095.0544824352894
2021-08-17 02:15:00,-1098.1542020903191
2021-08-17 02:30:00,-1201.3401448049751
2021-08-17 02:45:00,-1338.3804170737849
2021-08-17 03:00:00,-1239.5817662077973
2021-08-17 03:15:00,-1204.3337916467203
2021-08-17 03:30:00,-1097.4307740138704
2021-08-17 03:45:00,-1057.9278572488686
2021-08-17 04:00:00,-1189.4417277355833
2021-08-17 04:15:00,-1290.6448517421063
2021-08-17 04:30:00,-1063.089185642867
2021-08-17 04:45:00,-927.6934164581317
2021-08-17 05:00:00,-1122.611559308179
2021-08-17 05:15:00,-1016.7036551798184
2021-08-17 05:30:00,-1263.8017852956966
2021-08-17 05:45:00,-830.1272971173881
2021-08-17 06:00:00,-910.792811354398
2021-08-17 06:15:00,-1900.3916213631064
2021-08-17 06:30:00,-1951.239557903825
2021-08-17 06:45:00,-1895.3219741225653
2021-08-17 07:00:00,-1603.1365700543136
2021-08-17 07:15:00,-2482.483611656788
2021-08-17 07:30:00,-3035.9476138740424
2021-08-17 07:45:00,-3439.6404906140347
2021-08-17 08:00:00,-3451.445631619502
2021-08-17 08:15:00,-3310.5302664480364
2021-08-17 08:30:00,-2818.8097382647866
2021-08-17 08:45:00,-2919.940171730582
2021-08-17 09:00:00,-3063.118341827355
2021-08-17 09:15:00,-2848.3856484526764
2021-08-17 09:30:00,-2490.1895800129014
2021-08-17 09:45:00,-1729.3143283627353
2021-08-17 10:00:00,-1395.0441989702767
2021-08-17 10:15:00,-1531.922331507426
2021-08-17 10:30:00,-1618.734226490378
2021-08-17 10:45:00,-1453.412968123929
2021-08-17 11:00:00,-1233.9128034830885
2021-08-17 11:15:00,-1583.8138415704864
2021-08-17 11:30:00,-1503.5612234385706
2021-08-17 11:45:00,-1347.9953756237494
2021-08-17 12:00:00,-1118.0418913920366
2021-08-17 12:15:00,-1516.3597545659102
2021-08-17 12:30:00,-1352.9962094301472
2021-08-17 12:45:00,-1572.9932146179642
2021-08-17 13:00:00,-1935.969225167961
2021-08-17 13:15:00,-1913.8876203153577
2021-08-17 13:30:00,-1886.0949030010108
2021-08-17 13:45:00,-2014.8509946434465
2021-08-17 14:00:00,-2122.2857775332927
2021-08-17 14:15:00,-1336.1166566168658
2021-08-17 14:30:00,-1306.4218751505402
2021-08-17 14:45:00,-1318.7451723590805
2021-08-17 15:00:00,-1537.354414276511
2021-08-17 15:15:00,-1569.2483605433408
2021-08-17 15:30:00,-1768.7905653415712
2021-08-17 15:45:00,-1849.197347413859
2021-08-17 16:00:00,-1808.7850040385529
2021-08-17 16:15:00,-1769.6381263562314
2021-08-17 16:30:00,-1466.7271622703236
2021-08-17 16:45:00,-1189.2219424930374
2021-08-17 17:00:00,-99.34348075777469
2021-08-17 17:15:00,-731.6011809572553
2021-08-17 17:30:00,-1299.0026371209674
2021-08-17 17:45:00,-1457.7504554012437
2021-08-17 18:00:00,-1560.339025280983
2021-08-17 18:15:00,-2106.732929864789
2021-08-17 18:30:00,-1492.5068761336463
2021-08-17 18:45:00,-1104.8128443081375
2021-08-17 19:00:00,0.5445515026491038
2021-08-17 19:15:00,0.4809811637206034
2021-08-17 19:30:00,0.4433441189091517
2021-08-17 19:45:00,-607.7420950141313
2021-08-17 20:00:00,-867.8038675859754
2021-08-17 20:15:00,-880.0783441924134
2021-08-17 20:30:00,-849.1531576981741
2021-08-17 20:45:00,-973.4763988709614
2021-08-17 21:00:00,-661.1792133280823
2021-08-17 21:15:00,-891.7926104910915
2021-08-17 21:30:00,-783.2072212867957
2021-08-17 21:45:00,-712.9238160727459
2021-08-17 22:00:00,-903.3744454413348
2021-08-17 22:15:00,-679.6641452123105
2021-08-17 22:30:00,-879.7410733657257
2021-08-17 22:45:00,-980.9594384543578
2021-08-17 23:00:00,-746.1298473638503
2021-08-17 23:15:00,-891.0541448818213
2021-08-17 23:30:00,-1046.9982348012195
2021-08-17 23:45:00,-800.6187191953533
2021-08-18 00:00:00,-884.8500950105228
2021-08-18 00:15:00,-906.5990749656112
2021-08-18 00:30:00,-695.4352229836336
2021-08-18 00:45:00,-733.3483744760381
2021-08-18 01:00:00,-999.104174645113
2021-08-18 01:15:00,-831.1346905039691
2021-08-18 01:30:00,-828.0268495941425
2021-08-18 01:45:00,-902.6220716581228
2021-08-18 02:00:00,-854.2186355184069
2021-08-18 02:15:00,-889.7036632142716
2021-08-18 02:30:00,-972.2866423768528
2021-08-18 02:45:00,-1155.1938356552953
2021-08-18 03:00:00,-844.1802051367732
2021-08-18 03:15:00,-1115.211637503461
2021-08-18 03:30:00,-990.6554544191324
2021-08-18 03:45:00,-1004.1444281761088
2021-08-18 04:00:00,-1025.9973902063282
2021-08-18 04:15:00,-1318.6081426962814
2021-08-18 04:30:00,
2021-08-18 04:45:00,-739.2377985798893
2021-08-18 05:00:00,-1087.2931427608585
2021-08-18 05:15:00,-692.1439880301451
2021-08-18 05:30:00,-797.8465217978429
2021-08-18 05:45:00,-825.0729913794514
2021-08-18 06:00:00,-733.8633550849444
2021-08-18 06:15:00,-1063.7478572270495
2021-08-18 06:30:00,-1057.431987442626
2021-08-18 06:45:00,-913.9778945619664
2021-08-18 07:00:00,-1067.4764343301931
2021-08-18 07:15:00,-1221.980634400692
2021-08-18 07:30:00,-1550.055393872654
2021-08-18 07:45:00,-1514.2643700341753
2021-08-18 08:00:00,-1823.758426788624
2021-08-18 08:15:00,-1655.3803666125025
2021-08-18 08:30:00,-1840.8786669214264
2021-08-18 08:45:00,-1724.516161488553
2021-08-18 09:00:00,-1992.5158331713512
2021-08-18 09:15:00,-1604.0459863116032
2021-08-18 09:30:00,-1534.4977449442088
2021-08-18 09:45:00,-1170.1039815537176
2021-08-18 10:00:00,-1392.3230338622775
2021-08-18 10:15:00,-1209.8985660297053
2021-08-18 10:30:00,-1525.377908434506
2021-08-18 10:45:00,-1818.9924548191243
2021-08-18 11:00:00,-1684.1032272206176
2021-08-18 11:15:00,-1451.0067472359528
2021-08-18 11:30:00,-1292.6544754165918
2021-08-18 11:45:00,-1433.26881516133
2021-08-18 12:00:00,-1668.5979211444255
2021-08-18 12:15:00,-1660.18143769342
2021-08-18 12:30:00,-1694.918087088023
2021-08-18 12:45:00,-1489.8032252287433
2021-08-18 13:00:00,-1949.604969285096
2021-08-18 13:15:00,-1953.65278944542
2021-08-18 13:30:00,-2031.2284691548791
2021-08-18 13:45:00,-1873.2754026829848
2021-08-18 14:00:00,-1504.3836510452616
2021-08-18 14:15:00,-1225.3778500880303
2021-08-18 14:30:00,-1406.8480831582003
2021-08-18 14:45:00,-1672.1712389244478
2021-08-18 15:00:00,-1606.149938800644
2021-08-18 15:15:00,-1616.9211091404202
