datetime,1B-WindowZone-TCS10-DBT
2021-08-14 23:45:00,
2021-08-15 00:00:00,19.186326740181585
2021-08-15 00:15:00,19.1812220925678
2021-08-15 00:30:00,19.05426287617263
2021-08-15 00:45:00,19.02298281833737
2021-08-15 01:00:00,18.94353274317956
2021-08-15 01:15:00,18.9741602209482
2021-08-15 01:30:00,19.15569901705385
2021-08-15 01:45:00,19.288422210827942
2021-08-15 02:00:00,19.357030034246293
2021-08-15 02:15:00,19.3752076631846
2021-08-15 02:30:00,19.45464374799434
2021-08-15 02:45:00,19.541433730924098
2021-08-15 03:00:00,19.661125548444204
2021-08-15 03:15:00,19.70197643796979
2021-08-15 03:30:00,19.74056350842796
2021-08-15 03:45:00,19.766095615889583
2021-08-15 04:00:00,19.78652177353473
2021-08-15 04:15:00,19.82510511027442
2021-08-15 04:30:00,19.85801675520856
2021-08-15 04:45:00,19.88071847851222
2021-08-15 05:00:00,19.86823077371571
2021-08-15 05:15:00,19.88638524507149
2021-08-15 05:30:00,19.888100032200896
2021-08-15 05:45:00,19.87561109323252
2021-08-15 06:00:00,19.87561109323252
2021-08-15 06:15:00,19.89376632808916
2021-08-15 06:30:00,19.90625584600781
2021-08-15 06:45:00,19.91419530296412
2021-08-15 07:00:00,19.931793960823768
2021-08-15 07:15:00,20.555684377091893
2021-08-15 07:30:00,21.26633667238548
2021-08-15 07:45:00,21.781439252404937
2021-08-15 08:00:00,22.222970385912163
2021-08-15 08:15:00,22.739272019354075
2021-08-15 08:30:00,22.842168160534925
2021-08-15 08:45:00,22.79317173614811
2021-08-15 09:00:00,22.970848075499248
2021-08-15 09:15:00,23.383093357521545
2021-08-15 09:30:00,23.697943245688748
2021-08-15 09:45:00,24.01327080453933
2021-08-15 10:00:00,24.339471190124986
2021-08-15 10:15:00,24.593579563697062
2021-08-15 10:30:00,24.368002281268843
2021-08-15 10:45:00,24.4146532071884
2021-08-15 11:00:00,24.32648720786256
2021-08-15 11:15:00,24.26955571887868
2021-08-15 11:30:00,24.158256363592784
2021-08-15 11:45:00,24.178964214423104
2021-08-15 12:00:00,23.84526313480132
2021-08-15 12:15:00,23.514729563401943
2021-08-15 12:30:00,23.41904005028784
2021-08-15 12:45:00,23.65662490424927
2021-08-15 13:00:00,23.775437334025582
2021-08-15 13:15:00,23.509569083995583
2021-08-15 13:30:00,23.303249660653307
2021-08-15 13:45:00,23.43733526856357
2021-08-15 14:00:00,23.47595202202456
2021-08-15 14:15:00,23.72377137663318
2021-08-15 14:30:00,23.822062564690217
2021-08-15 14:45:00,23.579174915619543
2021-08-15 15:00:00,23.262008709112425
2021-08-15 15:15:00,23.14882535404245
2021-08-15 15:30:00,23.174396447616857
2021-08-15 15:45:00,23.46062848003988
2021-08-15 16:00:00,23.39091184441048
2021-08-15 16:15:00,23.238904318007656
2021-08-15 16:30:00,23.39340905078461
2021-08-15 16:45:00,23.298094130115544
2021-08-15 17:00:00,23.416701426320856
2021-08-15 17:15:00,23.2309013028285
2021-08-15 17:30:00,23.3418353779432
2021-08-15 17:45:00,23.3288585538333
2021-08-15 18:00:00,23.313388794403863
2021-08-15 18:15:00,23.22344333967459
2021-08-15 18:30:00,23.20283032390705
2021-08-15 18:45:00,23.11524549522278
2021-08-15 19:00:00,23.12287534123164
2021-08-15 19:15:00,23.212952974862617
2021-08-15 19:30:00,23.25436634310347
2021-08-15 19:45:00,23.256675424210243
2021-08-15 20:00:00,23.182032033429778
2021-08-15 20:15:00,23.15893891816984
2021-08-15 20:30:00,23.120202524912315
2021-08-15 20:45:00,23.0507647945567
2021-08-15 21:00:00,22.95808326769742
2021-08-15 21:15:00,22.708411283007024
2021-08-15 21:30:00,22.54118258236889
2021-08-15 21:45:00,22.394864900755067
2021-08-15 22:00:00,22.240792424217886
2021-08-15 22:15:00,22.1124609578178
2021-08-15 22:30:00,22.03035749115878
2021-08-15 22:45:00,21.909641873952182
2021-08-15 23:00:00,21.822799261991747
2021-08-15 23:15:00,21.730523063016733
2021-08-15 23:30:00,21.65090307274136
2021-08-15 23:45:00,21.57641617541293
2021-08-16 00:00:00,21.5125586644333
2021-08-16 00:15:00,21.45621121421567
2021-08-16 00:30:00,21.38214309551671
2021-08-16 00:45:00,21.346299034027027
2021-08-16 01:00:00,21.320300896132323
2021-08-16 01:15:00,21.28485970341285
2021-08-16 01:30:00,21.23366748456152
2021-08-16 01:45:00,21.18995317453892
2021-08-16 02:00:00,21.169479094832127
2021-08-16 02:15:00,21.138769850655308
2021-08-16 02:30:00,21.06989491063473
2021-08-16 02:45:00,21.01083829177844
2021-08-16 03:00:00,20.96990801359448
2021-08-16 03:15:00,20.91641402164788
2021-08-16 03:30:00,20.86526511140181
2021-08-16 03:45:00,20.82156607393227
2021-08-16 04:00:00,20.78576627481067
2021-08-16 04:15:00,20.765310408490564
2021-08-16 04:30:00,20.72161202394
2021-08-16 04:45:00,20.69372139108407
2021-08-16 05:00:00,20.685817280651804
2021-08-16 05:15:00,20.637479810836908
2021-08-16 05:30:00,20.6198241868002
2021-08-16 05:45:00,20.557998631633268
2021-08-16 06:00:00,20.519902667725432
2021-08-16 06:15:00,20.50176781178408
2021-08-16 06:30:00,20.481321610064924
2021-08-16 06:45:00,20.427404657665026
2021-08-16 07:00:00,20.41257082129664
2021-08-16 07:15:00,21.095057542367613
2021-08-16 07:30:00,21.73529841929372
2021-08-16 07:45:00,22.107328844196505
2021-08-16 08:00:00,22.32295406435128
2021-08-16 08:15:00,22.114873230267392
2021-08-16 08:30:00,22.10974078361824
