datetime,1B-OADA-1-POSN
2021-08-14 23:45:00,
2021-08-15 00:00:00,94.85379333333334
2021-08-15 00:15:00,94.8513
2021-08-15 00:30:00,94.85114
2021-08-15 00:45:00,94.8504
2021-08-15 01:00:00,94.85678666666666
2021-08-15 01:15:00,93.80516
2021-08-15 01:30:00,80.90601333333333
2021-08-15 01:45:00,60.04867333333333
2021-08-15 02:00:00,39.81936
2021-08-15 02:15:00,30.74497333333333
2021-08-15 02:30:00,30.76832
2021-08-15 02:45:00,30.79360666666667
2021-08-15 03:00:00,30.802886666666662
2021-08-15 03:15:00,30.822926666666667
2021-08-15 03:30:00,30.84604
2021-08-15 03:45:00,30.8634
2021-08-15 04:00:00,30.880066666666668
2021-08-15 04:15:00,30.89587333333333
2021-08-15 04:30:00,30.911366666666662
2021-08-15 04:45:00,30.91952666666667
2021-08-15 05:00:00,30.90825333333333
2021-08-15 05:15:00,30.91247333333333
2021-08-15 05:30:00,30.91188
2021-08-15 05:45:00,30.91456
2021-08-15 06:00:00,30.904913333333333
2021-08-15 06:15:00,30.91553333333333
2021-08-15 06:30:00,30.915306666666662
2021-08-15 06:45:00,30.91456
2021-08-15 07:00:00,30.90924
2021-08-15 07:15:00,30.91264
2021-08-15 07:30:00,30.91362666666667
2021-08-15 07:45:00,30.91136
2021-08-15 08:00:00,30.91502
2021-08-15 08:15:00,30.907186666666668
2021-08-15 08:30:00,30.86088
2021-08-15 08:45:00,30.823686666666667
2021-08-15 09:00:00,30.77134
2021-08-15 09:15:00,35.06806
2021-08-15 09:30:00,57.78045333333333
2021-08-15 09:45:00,82.11549333333333
2021-08-15 10:00:00,94.73946666666669
2021-08-15 10:15:00,62.45532
2021-08-15 10:30:00,30.47312
2021-08-15 10:45:00,30.48052
2021-08-15 11:00:00,30.474666666666668
2021-08-15 11:15:00,30.47738
2021-08-15 11:30:00,30.481006666666666
2021-08-15 11:45:00,30.48491333333333
2021-08-15 12:00:00,30.48493333333333
2021-08-15 12:15:00,30.47808666666667
2021-08-15 12:30:00,30.48668
2021-08-15 12:45:00,30.47988
2021-08-15 13:00:00,30.4848
2021-08-15 13:15:00,30.48336
2021-08-15 13:30:00,30.47814
2021-08-15 13:45:00,30.481346666666663
2021-08-15 14:00:00,30.483006666666665
2021-08-15 14:15:00,30.483006666666665
2021-08-15 14:30:00,30.483186666666665
2021-08-15 14:45:00,30.48679333333333
2021-08-15 15:00:00,30.48163333333333
2021-08-15 15:15:00,30.48231333333333
2021-08-15 15:30:00,30.4813
2021-08-15 15:45:00,30.477326666666663
2021-08-15 16:00:00,30.480486666666664
2021-08-15 16:15:00,30.48965333333333
2021-08-15 16:30:00,30.48219333333333
2021-08-15 16:45:00,30.478866666666665
2021-08-15 17:00:00,30.4812
2021-08-15 17:15:00,30.478486666666665
2021-08-15 17:30:00,30.475986666666664
2021-08-15 17:45:00,30.486066666666662
2021-08-15 18:00:00,30.481746666666663
2021-08-15 18:15:00,30.473666666666663
2021-08-15 18:30:00,30.48211333333333
2021-08-15 18:45:00,30.48385333333333
2021-08-15 19:00:00,30.480726666666666
2021-08-15 19:15:00,30.48427333333333
2021-08-15 19:30:00,30.478306666666665
2021-08-15 19:45:00,51.44208
2021-08-15 20:00:00,70.79338
2021-08-15 20:15:00,92.08019333333333
2021-08-15 20:30:00,94.87627333333332
2021-08-15 20:45:00,94.86741333333332
2021-08-15 21:00:00,94.86767333333334
2021-08-15 21:15:00,94.8646
2021-08-15 21:30:00,94.86612
2021-08-15 21:45:00,94.85585333333331
2021-08-15 22:00:00,94.86114
2021-08-15 22:15:00,94.86516
