datetime,desk1_plug_power
2021-08-14 23:45:00,
2021-08-15 00:00:00,36.14743333333333
2021-08-15 00:15:00,36.25530666666667
2021-08-15 00:30:00,36.03722666666667
2021-08-15 00:45:00,36.33923333333333
2021-08-15 01:00:00,36.35335333333333
2021-08-15 01:15:00,36.42875333333333
2021-08-15 01:30:00,36.21584
2021-08-15 01:45:00,36.36197333333334
2021-08-15 02:00:00,35.91296
2021-08-15 02:15:00,35.80170666666667
2021-08-15 02:30:00,36.27862
2021-08-15 02:45:00,36.19287333333333
2021-08-15 03:00:00,36.50485333333334
2021-08-15 03:15:00,36.52776
2021-08-15 03:30:00,36.39068
2021-08-15 03:45:00,35.96964666666667
2021-08-15 04:00:00,35.93998
2021-08-15 04:15:00,36.69318
2021-08-15 04:30:00,36.41531333333333
2021-08-15 04:45:00,36.042
2021-08-15 05:00:00,36.0684
2021-08-15 05:15:00,36.5362
2021-08-15 05:30:00,36.411006666666665
2021-08-15 05:45:00,36.329820000000005
2021-08-15 06:00:00,36.32984
2021-08-15 06:15:00,36.045253333333335
2021-08-15 06:30:00,36.42794666666667
2021-08-15 06:45:00,35.78069333333334
2021-08-15 07:00:00,36.209320000000005
2021-08-15 07:15:00,35.96994666666667
2021-08-15 07:30:00,36.00358000000001
2021-08-15 07:45:00,35.83623333333333
2021-08-15 08:00:00,36.4705
2021-08-15 08:15:00,165.03021333333334
2021-08-15 08:30:00,175.00283333333334
2021-08-15 08:45:00,174.68125999999998
2021-08-15 09:00:00,175.41784
2021-08-15 09:15:00,225.19055333333333
2021-08-15 09:30:00,228.23082666666667
2021-08-15 09:45:00,228.92146666666667
2021-08-15 10:00:00,227.43323333333333
2021-08-15 10:15:00,227.74035333333333
2021-08-15 10:30:00,227.5293533333333
2021-08-15 10:45:00,227.22761333333327
2021-08-15 11:00:00,227.2105666666667
2021-08-15 11:15:00,228.4330933333333
2021-08-15 11:30:00,227.28369333333333
2021-08-15 11:45:00,227.03866666666667
2021-08-15 12:00:00,227.26870666666667
2021-08-15 12:15:00,227.29956
2021-08-15 12:30:00,227.30028
2021-08-15 12:45:00,227.02242
2021-08-15 13:00:00,226.6275733333333
2021-08-15 13:15:00,89.16315333333334
2021-08-15 13:30:00,79.81795333333334
2021-08-15 13:45:00,79.36526666666667
2021-08-15 14:00:00,79.17833333333333
2021-08-15 14:15:00,217.7987466666667
2021-08-15 14:30:00,226.9997933333333
2021-08-15 14:45:00,226.60140666666663
2021-08-15 15:00:00,226.3864
2021-08-15 15:15:00,226.4862533333333
2021-08-15 15:30:00,226.6771733333333
2021-08-15 15:45:00,226.77828666666667
2021-08-15 16:00:00,226.91126666666665
2021-08-15 16:15:00,226.81897333333333
2021-08-15 16:30:00,226.44492
2021-08-15 16:45:00,226.1271933333333
2021-08-15 17:00:00,225.83890666666667
2021-08-15 17:15:00,226.2710933333333
2021-08-15 17:30:00,226.57192
2021-08-15 17:45:00,226.21830666666668
2021-08-15 18:00:00,225.7575133333333
2021-08-15 18:15:00,185.5116
2021-08-15 18:30:00,183.43892666666667
2021-08-15 18:45:00,183.2155933333333
