datetime,1A-OADA-1-POSN
2021-08-14 23:45:00,
2021-08-15 00:00:00,94.75466666666668
2021-08-15 00:15:00,94.78422666666668
2021-08-15 00:30:00,94.88570666666666
2021-08-15 00:45:00,94.88839333333334
2021-08-15 01:00:00,94.8828
2021-08-15 01:15:00,94.88179333333332
2021-08-15 01:30:00,94.8863
2021-08-15 01:45:00,94.88334666666668
2021-08-15 02:00:00,94.88328
2021-08-15 02:15:00,94.88560666666667
2021-08-15 02:30:00,94.88522
2021-08-15 02:45:00,94.88485333333333
2021-08-15 03:00:00,94.88432666666668
2021-08-15 03:15:00,94.8838
2021-08-15 03:30:00,94.88571333333331
2021-08-15 03:45:00,94.88356666666668
2021-08-15 04:00:00,94.88364666666666
2021-08-15 04:15:00,94.88378666666668
2021-08-15 04:30:00,94.88435333333334
2021-08-15 04:45:00,94.88674
2021-08-15 05:00:00,94.88780666666666
2021-08-15 05:15:00,94.88476
2021-08-15 05:30:00,94.88346666666666
2021-08-15 05:45:00,94.88203333333333
2021-08-15 06:00:00,94.88893333333334
2021-08-15 06:15:00,94.88363333333334
2021-08-15 06:30:00,94.88546666666666
2021-08-15 06:45:00,94.88425333333332
2021-08-15 07:00:00,94.88632666666668
2021-08-15 07:15:00,94.88222
2021-08-15 07:30:00,94.88454
2021-08-15 07:45:00,94.88614666666668
2021-08-15 08:00:00,94.8849
2021-08-15 08:15:00,94.88352
2021-08-15 08:30:00,94.88356
2021-08-15 08:45:00,94.88342666666668
2021-08-15 09:00:00,94.88242
2021-08-15 09:15:00,94.88403333333332
2021-08-15 09:30:00,94.88102666666668
2021-08-15 09:45:00,94.88176666666666
2021-08-15 10:00:00,48.24124666666667
2021-08-15 10:15:00,30.44034
2021-08-15 10:30:00,30.44143333333333
2021-08-15 10:45:00,30.441613333333333
2021-08-15 11:00:00,30.43871333333333
2021-08-15 11:15:00,30.43581333333333
2021-08-15 11:30:00,30.436826666666665
2021-08-15 11:45:00,30.43784
2021-08-15 12:00:00,30.436300000000003
2021-08-15 12:15:00,30.437206666666665
2021-08-15 12:30:00,30.434266666666662
2021-08-15 12:45:00,30.437246666666667
2021-08-15 13:00:00,30.4369
2021-08-15 13:15:00,30.43227333333333
2021-08-15 13:30:00,30.43621333333333
2021-08-15 13:45:00,30.43316
