datetime,1B-OAT-1
2021-08-16 14:30:00,26.9904
2021-08-16 14:45:00,26.5018
2021-08-16 15:00:00,26.4613
2021-08-16 15:15:00,26.3685
2021-08-16 15:30:00,26.2397
2021-08-16 15:45:00,26.6285
2021-08-16 16:00:00,26.2721
2021-08-16 16:15:00,25.0342
2021-08-16 16:30:00,24.8526
2021-08-16 16:45:00,24.6032
2021-08-16 17:00:00,24.9838
2021-08-16 17:15:00,24.1074
2021-08-16 17:30:00,23.7977
2021-08-16 17:45:00,23.325
2021-08-16 18:00:00,23.3554
2021-08-16 18:15:00,23.9151
2021-08-16 18:30:00,22.906
2021-08-16 18:45:00,22.4871
2021-08-16 19:00:00,21.7348
2021-08-16 19:15:00,21.3142
2021-08-16 19:30:00,21.2083
2021-08-16 19:45:00,20.7418
2021-08-16 20:00:00,19.2208
2021-08-16 20:15:00,18.7866
2021-08-16 20:30:00,18.3267
2021-08-16 20:45:00,18.4246
2021-08-16 21:00:00,17.4021
2021-08-16 21:15:00,17.5133
2021-08-16 21:30:00,16.7905
2021-08-16 21:45:00,16.6463
2021-08-16 22:00:00,16.3223
2021-08-16 22:15:00,15.7055
2021-08-16 22:30:00,16.1459
2021-08-16 22:45:00,15.8066
2021-08-16 23:00:00,15.51
2021-08-16 23:15:00,15.2447
2021-08-16 23:30:00,15.2086
2021-08-16 23:45:00,15.0928
2021-08-17 00:00:00,15.0417
2021-08-17 00:15:00,13.7678
2021-08-17 00:30:00,14.864
2021-08-17 00:45:00,13.8068
2021-08-17 01:00:00,14.2599
2021-08-17 01:15:00,14.6391
2021-08-17 01:30:00,15.1008
2021-08-17 01:45:00,14.0478
2021-08-17 02:00:00,15.1804
2021-08-17 02:15:00,14.4835
2021-08-17 02:30:00,14.6728
2021-08-17 02:45:00,14.2722
2021-08-17 03:00:00,14.4118
2021-08-17 03:15:00,13.7683
2021-08-17 03:30:00,15.006
2021-08-17 03:45:00,14.2005
2021-08-17 04:00:00,14.85
2021-08-17 04:15:00,14.4261
2021-08-17 04:30:00,15.8733
2021-08-17 04:45:00,14.6215
2021-08-17 05:00:00,14.6732
2021-08-17 05:15:00,15.0893
2021-08-17 05:30:00,14.1407
2021-08-17 05:45:00,14.2427
2021-08-17 06:00:00,13.7348
2021-08-17 06:15:00,14.1942
2021-08-17 06:30:00,13.8656
2021-08-17 06:45:00,13.3263
2021-08-17 07:00:00,14.0843
2021-08-17 07:15:00,13.3905
2021-08-17 07:30:00,14.078
2021-08-17 07:45:00,13.9069
2021-08-17 08:00:00,14.6412
2021-08-17 08:15:00,13.517
2021-08-17 08:30:00,13.7323
2021-08-17 08:45:00,14.1824
2021-08-17 09:00:00,14.8922
2021-08-17 09:15:00,15.3373
2021-08-17 09:30:00,14.7107
2021-08-17 09:45:00,15.4122
2021-08-17 10:00:00,16.2301
2021-08-17 10:15:00,16.1476
2021-08-17 10:30:00,15.7966
2021-08-17 10:45:00,16.5206
2021-08-17 11:00:00,17.2321
