datetime,1A-RADA-1-POSN
2021-08-14 23:45:00,
2021-08-15 00:00:00,-1.04244
2021-08-15 00:15:00,-1.0429533333333334
2021-08-15 00:30:00,-1.043653333333333
2021-08-15 00:45:00,-1.04454
2021-08-15 01:00:00,-1.0427933333333332
2021-08-15 01:15:00,-1.0463466666666668
2021-08-15 01:30:00,-1.0426
2021-08-15 01:45:00,-1.03796
2021-08-15 02:00:00,-1.0404
2021-08-15 02:15:00,-1.04302
2021-08-15 02:30:00,-1.0421933333333333
2021-08-15 02:45:00,-1.0436333333333334
2021-08-15 03:00:00,-1.0433266666666663
2021-08-15 03:15:00,-1.04498
2021-08-15 03:30:00,-1.0443933333333333
2021-08-15 03:45:00,-1.0439666666666667
2021-08-15 04:00:00,-1.0462066666666667
2021-08-15 04:15:00,-1.0449333333333333
2021-08-15 04:30:00,-1.04366
2021-08-15 04:45:00,-1.0465733333333334
2021-08-15 05:00:00,-1.044266666666667
2021-08-15 05:15:00,-1.0453333333333332
2021-08-15 05:30:00,-1.043386666666667
2021-08-15 05:45:00,-1.0407666666666666
2021-08-15 06:00:00,-1.0432733333333333
2021-08-15 06:15:00,-1.0436133333333333
2021-08-15 06:30:00,-1.0472466666666669
2021-08-15 06:45:00,-1.04152
2021-08-15 07:00:00,-1.0459733333333332
2021-08-15 07:15:00,-1.0429333333333333
2021-08-15 07:30:00,-1.0487666666666666
2021-08-15 07:45:00,-1.0464866666666668
2021-08-15 08:00:00,-1.04278
2021-08-15 08:15:00,-1.0455733333333332
2021-08-15 08:30:00,-1.0433066666666666
2021-08-15 08:45:00,-1.042266666666667
2021-08-15 09:00:00,-1.04084
2021-08-15 09:15:00,-1.0437666666666667
2021-08-15 09:30:00,-1.04164
2021-08-15 09:45:00,-1.0402866666666666
2021-08-15 10:00:00,49.52098
2021-08-15 10:15:00,69.4468
2021-08-15 10:30:00,69.44545333333333
2021-08-15 10:45:00,69.45085999999999
2021-08-15 11:00:00,69.44746666666667
2021-08-15 11:15:00,69.44810666666667
2021-08-15 11:30:00,69.44959999999999
2021-08-15 11:45:00,69.44948666666666
2021-08-15 12:00:00,69.4508
2021-08-15 12:15:00,69.45142666666668
2021-08-15 12:30:00,69.45137333333334
2021-08-15 12:45:00,69.44974666666667
2021-08-15 13:00:00,69.44928666666667
2021-08-15 13:15:00,69.45489333333333
2021-08-15 13:30:00,69.45181333333333
2021-08-15 13:45:00,69.45128666666666
2021-08-15 14:00:00,69.45078666666667
2021-08-15 14:15:00,69.45047333333333
