datetime,1A-MidZone-TCS6-DBT
2021-08-14 23:45:00,
2021-08-15 00:00:00,20.43134173152896
2021-08-15 00:15:00,20.40299145609947
2021-08-15 00:30:00,20.32125491973312
2021-08-15 00:45:00,20.234422419120506
2021-08-15 01:00:00,20.19638180602413
2021-08-15 01:15:00,20.13228230535668
2021-08-15 01:30:00,20.07611217116857
2021-08-15 01:45:00,20.03526413026356
2021-08-15 02:00:00,19.920112307811053
2021-08-15 02:15:00,19.928049401889268
2021-08-15 02:30:00,19.87700031160392
2021-08-15 02:45:00,19.787385503112773
2021-08-15 03:00:00,19.718769225133087
2021-08-15 03:15:00,19.701198220008223
2021-08-15 03:30:00,19.688147321970742
2021-08-15 03:45:00,19.61159714644441
2021-08-15 04:00:00,19.58097883875081
2021-08-15 04:15:00,19.522598449546933
2021-08-15 04:30:00,19.497086864217124
2021-08-15 04:45:00,19.455658015544827
2021-08-15 05:00:00,19.407492569873057
2021-08-15 05:15:00,19.410352020934283
2021-08-15 05:30:00,19.277079360982952
2021-08-15 05:45:00,19.295250995924675
2021-08-15 06:00:00,19.25667198950407
2021-08-15 06:15:00,20.0199467438016
2021-08-15 06:30:00,20.46710501842801
2021-08-15 06:45:00,20.01484102354948
2021-08-15 07:00:00,19.787385503112773
2021-08-15 07:15:00,20.91135600812487
2021-08-15 07:30:00,21.896966757311137
2021-08-15 07:45:00,22.42322976498275
2021-08-15 08:00:00,22.724053160687845
2021-08-15 08:15:00,23.04558616486713
2021-08-15 08:30:00,22.641528787128948
2021-08-15 08:45:00,22.120289824688825
2021-08-15 09:00:00,21.98961767527692
2021-08-15 09:15:00,22.09735375942085
2021-08-15 09:30:00,22.191842600703524
2021-08-15 09:45:00,22.36672488670905
2021-08-15 10:00:00,22.441348143256675
2021-08-15 10:15:00,22.536274505695417
2021-08-15 10:30:00,22.57765231300033
2021-08-15 10:45:00,22.644225381608123
2021-08-15 11:00:00,22.708625022973024
2021-08-15 11:15:00,22.75491222724997
2021-08-15 11:30:00,22.829388615454207
2021-08-15 11:45:00,22.85265743513554
2021-08-15 12:00:00,22.914410985524228
2021-08-15 12:15:00,22.98379584121216
2021-08-15 12:30:00,22.981328206831904
2021-08-15 12:45:00,23.030137092169586
2021-08-15 13:00:00,23.09996554952744
2021-08-15 13:15:00,23.00460145629592
2021-08-15 13:30:00,22.803663430494623
2021-08-15 13:45:00,22.772796679034684
2021-08-15 14:00:00,22.75491222724997
2021-08-15 14:15:00,22.729196079590903
2021-08-15 14:30:00,22.829388615454207
2021-08-15 14:45:00,23.014689016266857
2021-08-15 15:00:00,23.135823682318744
2021-08-15 15:15:00,23.1976502418184
2021-08-15 15:30:00,23.272469568725622
2021-08-15 15:45:00,23.31619756249944
2021-08-15 16:00:00,23.388387204011
2021-08-15 16:15:00,23.414174878964843
2021-08-15 16:30:00,23.45794117802791
2021-08-15 16:45:00,23.47607758702424
2021-08-15 17:00:00,23.525172161128467
2021-08-15 17:15:00,23.439965558316946
2021-08-15 17:30:00,23.388387204011
2021-08-15 17:45:00,23.383230028151445
2021-08-15 18:00:00,23.401197803178945
2021-08-15 18:15:00,23.23372335852548
2021-08-15 18:30:00,23.024987622948743
2021-08-15 18:45:00,22.87324023886105
2021-08-15 19:00:00,22.816409753290827
2021-08-15 19:15:00,22.56197310473499
2021-08-15 19:30:00,22.271866364085383
2021-08-15 19:45:00,22.20754486679516
2021-08-15 20:00:00,22.325924914533857
2021-08-15 20:15:00,22.2332130731906
2021-08-15 20:30:00,22.107616343883706
2021-08-15 20:45:00,22.00227949610393
2021-08-15 21:00:00,21.92054523169276
2021-08-15 21:15:00,21.58702855943397
2021-08-15 21:30:00,21.44084946100935
2021-08-15 21:45:00,21.321113920903485
2021-08-15 22:00:00,21.182508869506364
2021-08-15 22:15:00,21.14156875480262
2021-08-15 22:30:00,21.029004618374582
2021-08-15 22:45:00,20.91135600812487
2021-08-15 23:00:00,20.67383216689319
2021-08-15 23:15:00,20.70914459249041
2021-08-15 23:30:00,20.619443805640515
2021-08-15 23:45:00,20.50237753722962
2021-08-16 00:00:00,20.43594998285971
2021-08-16 00:15:00,20.35139451542972
2021-08-16 00:30:00,20.2980104756154
2021-08-16 00:45:00,20.28039098904213
2021-08-16 01:00:00,20.23900692562813
2021-08-16 01:15:00,20.14988912539394
2021-08-16 01:30:00,20.088607716272804
2021-08-16 01:45:00,20.039824531615125
2021-08-16 02:00:00,20.01201386923504
2021-08-16 02:15:00,19.909901738700967
2021-08-16 02:30:00,19.881541682179773
2021-08-16 02:45:00,19.77944137814092
2021-08-16 03:00:00,19.82538488660964
2021-08-16 03:15:00,19.71366549979973
2021-08-16 03:30:00,19.66773331086074
2021-08-16 03:45:00,19.60079575513106
2021-08-16 04:00:00,19.554863937162168
2021-08-16 04:15:00,19.544657158203503
2021-08-16 04:30:00,19.488521704796256
2021-08-16 04:45:00,19.49423212864383
2021-08-16 05:00:00,19.395046570475984
2021-08-16 05:15:00,19.39953040470465
2021-08-16 05:30:00,19.361574313636936
2021-08-16 05:45:00,19.333201261335148
2021-08-16 06:00:00,19.25220493869773
2021-08-16 06:15:00,19.971167279983888
2021-08-16 06:30:00,20.418318376162063
2021-08-16 06:45:00,19.935428425132216
2021-08-16 07:00:00,19.787385503112773
2021-08-16 07:15:00,20.857883873194112
2021-08-16 07:30:00,21.866197564751246
2021-08-16 07:45:00,22.31536674637772
2021-08-16 08:00:00,22.564412923887403
2021-08-16 08:15:00,22.999241933750284
2021-08-16 08:30:00,23.035286672145503
