datetime,1B-El-HWP
2021-08-14 23:45:00,52.37698123333335
2021-08-15 00:00:00,52.30913877628205
2021-08-15 00:15:00,52.086924204545454
2021-08-15 00:30:00,52.30011132986112
2021-08-15 00:45:00,52.54697082564103
2021-08-15 01:00:00,53.104342025641024
2021-08-15 01:15:00,52.80910679107142
2021-08-15 01:30:00,52.47555761538461
2021-08-15 01:45:00,52.34803980833334
2021-08-15 02:00:00,52.469788398484845
2021-08-15 02:15:00,52.36706796439394
2021-08-15 02:30:00,52.30215572013888
2021-08-15 02:45:00,52.5142476974359
2021-08-15 03:00:00,52.53350528333333
2021-08-15 03:15:00,52.48614170069444
2021-08-15 03:30:00,52.62146967666666
2021-08-15 03:45:00,52.65560084545454
2021-08-15 04:00:00,52.67811765625
2021-08-15 04:15:00,52.75029911794872
2021-08-15 04:30:00,52.66846504930555
2021-08-15 04:45:00,52.591003783333335
2021-08-15 05:00:00,52.53665166488096
2021-08-15 05:15:00,52.63916286041667
2021-08-15 05:30:00,52.75244369038462
2021-08-15 05:45:00,52.63969384924242
2021-08-15 06:00:00,52.68838096111111
2021-08-15 06:15:00,52.8283398698718
2021-08-15 06:30:00,52.89763534940476
2021-08-15 06:45:00,52.85520228333333
2021-08-15 07:00:00,52.9118367724359
2021-08-15 07:15:00,52.95579030277778
2021-08-15 07:30:00,52.92693035250001
2021-08-15 07:45:00,52.71935050151515
2021-08-15 08:00:00,52.46963805347222
2021-08-15 08:15:00,52.41210669333334
2021-08-15 08:30:00,52.19918293560606
2021-08-15 08:45:00,51.944508549305546
2021-08-15 09:00:00,51.7187892423077
2021-08-15 09:15:00,51.85942210833334
2021-08-15 09:30:00,51.95781473055556
2021-08-15 09:45:00,52.00742785378787
2021-08-15 10:00:00,51.852791572916665
2021-08-15 10:15:00,51.77292518589744
2021-08-15 10:30:00,51.824363443452384
2021-08-15 10:45:00,51.93662492291667
2021-08-15 11:00:00,51.97126479166666
2021-08-15 11:15:00,51.99718611666667
2021-08-15 11:30:00,52.04515334393939
2021-08-15 11:45:00,51.93481375833333
2021-08-15 12:00:00,52.032300690384616
2021-08-15 12:15:00,51.97552289464286
2021-08-15 12:30:00,51.94497239652778
2021-08-15 12:45:00,51.91140910902778
2021-08-15 13:00:00,51.96879843666667
2021-08-15 13:15:00,51.88606200530303
2021-08-15 13:30:00,51.82661052430556
2021-08-15 13:45:00,51.85826826858974
2021-08-15 14:00:00,51.91050474242424
2021-08-15 14:15:00,51.920510155555554
2021-08-15 14:30:00,51.9306276
2021-08-15 14:45:00,51.92879988166668
2021-08-15 15:00:00,51.90955067083333
2021-08-15 15:15:00,51.86837292692307
2021-08-15 15:30:00,51.89193712023809
2021-08-15 15:45:00,51.82073429107143
2021-08-15 16:00:00,51.87876891388888
2021-08-15 16:15:00,51.80357918333333
2021-08-15 16:30:00,51.90489283030302
2021-08-15 16:45:00,51.98423815833334
2021-08-15 17:00:00,52.00777627307692
2021-08-15 17:15:00,52.17626829464285
2021-08-15 17:30:00,51.92047168333334
2021-08-15 17:45:00,51.90120308541666
2021-08-15 18:00:00,51.95855415208333
2021-08-15 18:15:00,51.92642187692308
2021-08-15 18:30:00,51.937115852272726
2021-08-15 18:45:00,51.890180731250005
2021-08-15 19:00:00,51.79247496794872
2021-08-15 19:15:00,51.85557897348485
2021-08-15 19:30:00,52.076844835416665
2021-08-15 19:45:00,52.02242324652778
2021-08-15 20:00:00,51.86142576439394
2021-08-15 20:15:00,51.81070731180555
2021-08-15 20:30:00,51.809479953205134
2021-08-15 20:45:00,51.77442707738095
2021-08-15 21:00:00,51.80889566944444
2021-08-15 21:15:00,51.804067433974346
2021-08-15 21:30:00,51.733400965476186
2021-08-15 21:45:00,51.79026362222223
2021-08-15 22:00:00,51.87112576474359
2021-08-15 22:15:00,51.79422342115385
2021-08-15 22:30:00,51.85442967121212
2021-08-15 22:45:00,51.795615277777785
2021-08-15 23:00:00,51.83660506987179
2021-08-15 23:15:00,51.78652296858975
2021-08-15 23:30:00,51.73055386666667
2021-08-15 23:45:00,51.70841182152778
2021-08-16 00:00:00,51.63877194722222
2021-08-16 00:15:00,51.65030791166667
2021-08-16 00:30:00,51.57786819469697
2021-08-16 00:45:00,51.64241095347222
2021-08-16 01:00:00,51.7549625409091
2021-08-16 01:15:00,51.68480113205128
2021-08-16 01:30:00,51.67282079772727
2021-08-16 01:45:00,51.69794960555556
2021-08-16 02:00:00,51.60095413589743
2021-08-16 02:15:00,51.65073346346154
2021-08-16 02:30:00,51.62884041547619
2021-08-16 02:45:00,51.62354670064102
2021-08-16 03:00:00,51.6046965654762
2021-08-16 03:15:00,51.64181594722222
2021-08-16 03:30:00,51.62117884097222
2021-08-16 03:45:00,51.58281165897437
2021-08-16 04:00:00,51.60684769702381
2021-08-16 04:15:00,51.5892885875
2021-08-16 04:30:00,51.49454235192308
2021-08-16 04:45:00,51.52016727416667
2021-08-16 05:00:00,51.55378665454544
2021-08-16 05:15:00,51.619879921527776
2021-08-16 05:30:00,51.56912380666667
2021-08-16 05:45:00,51.42457443484848
2021-08-16 06:00:00,51.450269500694446
2021-08-16 06:15:00,51.44733180297619
2021-08-16 06:30:00,51.29597479513888
2021-08-16 06:45:00,51.20795893125
2021-08-16 07:00:00,51.17418067435897
2021-08-16 07:15:00,51.115291167424246
2021-08-16 07:30:00,51.16315197638888
2021-08-16 07:45:00,51.269013745512815
2021-08-16 08:00:00,51.172001422619054
2021-08-16 08:15:00,51.17251075555556
2021-08-16 08:30:00,51.01855317564103
