datetime,1A-El-HWP
2021-08-14 23:45:00,58.46945045833332
2021-08-15 00:00:00,57.67234195192308
2021-08-15 00:15:00,57.4093629810606
2021-08-15 00:30:00,57.20477328263888
2021-08-15 00:45:00,55.83381862884616
2021-08-15 01:00:00,54.474552551282045
2021-08-15 01:15:00,54.3204218375
2021-08-15 01:30:00,54.9986277525641
2021-08-15 01:45:00,55.66740315972222
2021-08-15 02:00:00,55.28258365833334
2021-08-15 02:15:00,54.59746514772728
2021-08-15 02:30:00,55.20488373333333
2021-08-15 02:45:00,54.94676262628206
2021-08-15 03:00:00,54.60614312272728
2021-08-15 03:15:00,54.83347167361112
2021-08-15 03:30:00,56.1404650475
2021-08-15 03:45:00,56.13581638333333
2021-08-15 04:00:00,56.01134512708333
2021-08-15 04:15:00,56.79146120641026
2021-08-15 04:30:00,55.40385607291668
2021-08-15 04:45:00,54.48187625705128
2021-08-15 05:00:00,54.887884506547614
2021-08-15 05:15:00,54.49978885486112
2021-08-15 05:30:00,54.87723789038461
2021-08-15 05:45:00,55.09302992121213
2021-08-15 06:00:00,56.38564690625
2021-08-15 06:15:00,55.53364704423076
2021-08-15 06:30:00,56.49358537884616
2021-08-15 06:45:00,56.513411722916665
2021-08-15 07:00:00,55.68939165138889
2021-08-15 07:15:00,56.33850988055556
2021-08-15 07:30:00,55.88248794749999
2021-08-15 07:45:00,54.93643836742424
2021-08-15 08:00:00,54.85905772638889
2021-08-15 08:15:00,54.567895346666674
2021-08-15 08:30:00,54.41417084090909
2021-08-15 08:45:00,54.27496047638888
2021-08-15 09:00:00,54.34324750961538
2021-08-15 09:15:00,54.40922430757576
2021-08-15 09:30:00,54.33519802361111
2021-08-15 09:45:00,54.34126892045455
2021-08-15 10:00:00,53.99922323125001
2021-08-15 10:15:00,53.80143576089744
2021-08-15 10:30:00,53.74884712738096
2021-08-15 10:45:00,54.16291689513889
2021-08-15 11:00:00,54.01397222152778
2021-08-15 11:15:00,54.31249420769231
2021-08-15 11:30:00,55.12975361287879
2021-08-15 11:45:00,55.72200106319445
2021-08-15 12:00:00,55.09654032243589
2021-08-15 12:15:00,55.01043085238096
2021-08-15 12:30:00,54.98303233611111
2021-08-15 12:45:00,54.70515581875
2021-08-15 13:00:00,54.912407001666665
2021-08-15 13:15:00,55.111779144696975
2021-08-15 13:30:00,54.63110333819444
2021-08-15 13:45:00,54.80597357115384
2021-08-15 14:00:00,54.5263064439394
2021-08-15 14:15:00,54.757407726515154
2021-08-15 14:30:00,55.93986754027778
2021-08-15 14:45:00,55.38739579083334
2021-08-15 15:00:00,55.28172447777778
2021-08-15 15:15:00,55.68987026923076
2021-08-15 15:30:00,55.18259141369048
2021-08-15 15:45:00,55.64579774107143
2021-08-15 16:00:00,56.14175452291666
2021-08-15 16:15:00,55.95906093333333
2021-08-15 16:30:00,56.48484351439394
2021-08-15 16:45:00,56.24656279027778
2021-08-15 17:00:00,56.04195403589743
2021-08-15 17:15:00,55.56276821190476
2021-08-15 17:30:00,55.54561204621212
2021-08-15 17:45:00,55.46433339097222
2021-08-15 18:00:00,55.71807601180555
2021-08-15 18:15:00,56.30495570897436
2021-08-15 18:30:00,55.49775138106061
2021-08-15 18:45:00,55.71659419513889
2021-08-15 19:00:00,55.24149337051282
2021-08-15 19:15:00,55.0146204939394
2021-08-15 19:30:00,54.88399239621212
2021-08-15 19:45:00,55.53971542847222
2021-08-15 20:00:00,55.25545905378788
2021-08-15 20:15:00,55.1413944
2021-08-15 20:30:00,55.52302510897436
2021-08-15 20:45:00,57.01854505357143
2021-08-15 21:00:00,57.27480476666667
2021-08-15 21:15:00,57.59129889487179
2021-08-15 21:30:00,57.302521923214286
2021-08-15 21:45:00,57.70680500347223
2021-08-15 22:00:00,57.11188371025642
2021-08-15 22:15:00,57.85378636410256
2021-08-15 22:30:00,57.85933139545455
2021-08-15 22:45:00,57.60128527152778
2021-08-15 23:00:00,57.02522583205128
2021-08-15 23:15:00,56.17185677115385
2021-08-15 23:30:00,57.13103620681818
2021-08-15 23:45:00,56.84303600902778
2021-08-16 00:00:00,55.08174938680555
2021-08-16 00:15:00,54.75122530833333
2021-08-16 00:30:00,55.42319328333333
2021-08-16 00:45:00,55.71108499305556
2021-08-16 01:00:00,55.81238716583333
2021-08-16 01:15:00,56.134775487179496
2021-08-16 01:30:00,56.39314835530303
2021-08-16 01:45:00,56.10041782569445
2021-08-16 02:00:00,56.02803017435898
2021-08-16 02:15:00,55.64101485064103
2021-08-16 02:30:00,56.21980193154762
2021-08-16 02:45:00,55.94007744935898
2021-08-16 03:00:00,55.80902098749999
2021-08-16 03:15:00,55.73886502777777
2021-08-16 03:30:00,55.43318010972223
2021-08-16 03:45:00,55.19932221538461
2021-08-16 04:00:00,54.99026647738096
2021-08-16 04:15:00,54.85037809583333
2021-08-16 04:30:00,54.24089619743589
2021-08-16 04:45:00,54.669783755000005
2021-08-16 05:00:00,54.89959151818182
2021-08-16 05:15:00,54.88283969444444
2021-08-16 05:30:00,55.906561065000005
2021-08-16 05:45:00,57.116346629545454
2021-08-16 06:00:00,55.41903765763888
2021-08-16 06:15:00,54.6050035375
2021-08-16 06:30:00,54.21632049027778
2021-08-16 06:45:00,53.98255664027778
2021-08-16 07:00:00,53.37366800769231
2021-08-16 07:15:00,53.99833955000001
2021-08-16 07:30:00,54.254549176388885
2021-08-16 07:45:00,55.472789647435896
2021-08-16 08:00:00,55.99003433988095
2021-08-16 08:15:00,55.58004742152778
2021-08-16 08:30:00,55.41276561794872
2021-08-16 08:45:00,55.708379017307685
