datetime,1B-SAT-1
2021-08-14 23:45:00,
2021-08-15 00:00:00,11.56816
2021-08-15 00:15:00,11.690206666666668
2021-08-15 00:30:00,11.643666666666666
2021-08-15 00:45:00,11.654066666666669
2021-08-15 01:00:00,11.692573333333334
2021-08-15 01:15:00,12.36764
2021-08-15 01:30:00,13.798713333333334
2021-08-15 01:45:00,14.421193333333331
2021-08-15 02:00:00,14.7702
2021-08-15 02:15:00,15.12882
2021-08-15 02:30:00,15.416553333333333
2021-08-15 02:45:00,15.973646666666667
2021-08-15 03:00:00,16.580093333333334
2021-08-15 03:15:00,16.51785333333333
2021-08-15 03:30:00,16.609346666666667
2021-08-15 03:45:00,16.73978
2021-08-15 04:00:00,16.86256
2021-08-15 04:15:00,16.98358
2021-08-15 04:30:00,17.089066666666668
2021-08-15 04:45:00,17.184813333333334
2021-08-15 05:00:00,17.249626666666664
2021-08-15 05:15:00,17.37342
2021-08-15 05:30:00,17.425013333333332
2021-08-15 05:45:00,17.54502
2021-08-15 06:00:00,17.594546666666666
2021-08-15 06:15:00,17.659993333333333
2021-08-15 06:30:00,17.750786666666666
2021-08-15 06:45:00,17.798000000000002
2021-08-15 07:00:00,17.914586666666665
2021-08-15 07:15:00,17.956253333333333
2021-08-15 07:30:00,18.3803
2021-08-15 07:45:00,19.03592
2021-08-15 08:00:00,19.805526666666665
2021-08-15 08:15:00,20.543333333333333
2021-08-15 08:30:00,21.056786666666667
2021-08-15 08:45:00,21.433966666666667
2021-08-15 09:00:00,21.66516
2021-08-15 09:15:00,21.82793333333333
2021-08-15 09:30:00,21.87056
2021-08-15 09:45:00,21.837606666666662
2021-08-15 10:00:00,21.84802
2021-08-15 10:15:00,21.08243333333333
2021-08-15 10:30:00,16.23724
2021-08-15 10:45:00,16.63596
2021-08-15 11:00:00,17.176873333333333
2021-08-15 11:15:00,17.592493333333334
2021-08-15 11:30:00,18.21079333333333
2021-08-15 11:45:00,18.02508
2021-08-15 12:00:00,16.847486666666665
2021-08-15 12:15:00,16.168446666666668
2021-08-15 12:30:00,15.791653333333333
2021-08-15 12:45:00,16.153706666666668
2021-08-15 13:00:00,16.59423333333333
