datetime,1B-El-CHWP
2021-08-14 23:45:00,57.89829372499999
2021-08-15 00:00:00,57.08387050064103
2021-08-15 00:15:00,56.7970091280303
2021-08-15 00:30:00,56.871419431944446
2021-08-15 00:45:00,56.805657564743576
2021-08-15 01:00:00,56.8027660474359
2021-08-15 01:15:00,55.04330300476191
2021-08-15 01:30:00,54.81548169166667
2021-08-15 01:45:00,54.93494601111112
2021-08-15 02:00:00,55.05188430303031
2021-08-15 02:15:00,54.841259783333335
2021-08-15 02:30:00,54.82383831736112
2021-08-15 02:45:00,54.78912961794872
2021-08-15 03:00:00,54.71619283257576
2021-08-15 03:15:00,54.70374034236111
2021-08-15 03:30:00,54.74598634416667
2021-08-15 03:45:00,54.67468873484848
2021-08-15 04:00:00,54.64888759305556
2021-08-15 04:15:00,54.690890408974354
2021-08-15 04:30:00,54.64318868749999
2021-08-15 04:45:00,54.721161823076926
2021-08-15 05:00:00,54.76055317261905
2021-08-15 05:15:00,54.65746753680555
2021-08-15 05:30:00,55.07708437564103
2021-08-15 05:45:00,55.224788123484856
2021-08-15 06:00:00,55.58171425
2021-08-15 06:15:00,56.01725019679487
2021-08-15 06:30:00,55.27163326904762
2021-08-15 06:45:00,55.16495655902778
2021-08-15 07:00:00,55.113266384615386
2021-08-15 07:15:00,54.85521669444446
2021-08-15 07:30:00,54.726937130833335
2021-08-15 07:45:00,54.66905917954546
2021-08-15 08:00:00,54.68513069861111
2021-08-15 08:15:00,54.99346003833333
2021-08-15 08:30:00,54.91419105227272
2021-08-15 08:45:00,54.803020690277776
2021-08-15 09:00:00,54.83676852371794
2021-08-15 09:15:00,54.803968777272736
2021-08-15 09:30:00,54.73384886736111
2021-08-15 09:45:00,54.92916143181819
2021-08-15 10:00:00,54.78358073472222
2021-08-15 10:15:00,57.827114535256406
2021-08-15 10:30:00,56.14014967142857
2021-08-15 10:45:00,55.98647640763889
2021-08-15 11:00:00,55.804097650694445
2021-08-15 11:15:00,55.76257694871794
2021-08-15 11:30:00,56.09976162575758
2021-08-15 11:45:00,56.57559122916666
2021-08-15 12:00:00,56.86977130897436
2021-08-15 12:15:00,57.08920940000001
2021-08-15 12:30:00,56.614433641666665
2021-08-15 12:45:00,56.162870162500006
2021-08-15 13:00:00,56.10154958833333
2021-08-15 13:15:00,56.27487082045455
2021-08-15 13:30:00,55.85239804652778
2021-08-15 13:45:00,55.83055408076923
2021-08-15 14:00:00,55.7250385
2021-08-15 14:15:00,55.59607736597223
2021-08-15 14:30:00,56.25193127291666
2021-08-15 14:45:00,56.72233690583333
2021-08-15 15:00:00,56.86882209791667
2021-08-15 15:15:00,56.781168981410254
2021-08-15 15:30:00,56.28728073928571
2021-08-15 15:45:00,56.08774659107143
2021-08-15 16:00:00,56.00495822430556
2021-08-15 16:15:00,56.18421187564103
2021-08-15 16:30:00,56.09413976893939
2021-08-15 16:45:00,56.12233136805555
2021-08-15 17:00:00,55.95908356025642
2021-08-15 17:15:00,55.66943335476191
2021-08-15 17:30:00,55.79405902013889
2021-08-15 17:45:00,55.83817385208334
2021-08-15 18:00:00,56.08519258333333
2021-08-15 18:15:00,55.984791791666666
2021-08-15 18:30:00,56.00800719090909
2021-08-15 18:45:00,55.88053987430556
2021-08-15 19:00:00,55.44091217564103
2021-08-15 19:15:00,55.83182211363636
2021-08-15 19:30:00,55.56427641180556
2021-08-15 19:45:00,55.203165578472216
2021-08-15 20:00:00,55.08286192727273
2021-08-15 20:15:00,55.04274765763889
2021-08-15 20:30:00,54.92414170769231
2021-08-15 20:45:00,54.82138263452381
2021-08-15 21:00:00,54.783685588888886
2021-08-15 21:15:00,54.73252276666666
2021-08-15 21:30:00,54.86749072678571
2021-08-15 21:45:00,54.840916397916665
2021-08-15 22:00:00,54.58886432051281
2021-08-15 22:15:00,54.563350841025645
2021-08-15 22:30:00,54.56217856742424
2021-08-15 22:45:00,54.56203201666667
2021-08-15 23:00:00,54.68340893333334
2021-08-15 23:15:00,54.55566354487179
2021-08-15 23:30:00,54.54999551515152
2021-08-15 23:45:00,54.61410408125
2021-08-16 00:00:00,54.45271801180556
2021-08-16 00:15:00,54.54568759666667
2021-08-16 00:30:00,54.48465457727273
2021-08-16 00:45:00,54.52166474999999
