datetime,1A-WindowZone-TCS7-DBT
2021-08-14 23:45:00,
2021-08-15 00:00:00,19.264853946264736
2021-08-15 00:15:00,19.183088620689603
2021-08-15 00:30:00,19.093990575184023
2021-08-15 00:45:00,18.95381740098168
2021-08-15 01:00:00,18.89694226279147
2021-08-15 01:15:00,18.882293428576705
2021-08-15 01:30:00,18.810771499672512
2021-08-15 01:45:00,18.728337513486338
2021-08-15 02:00:00,18.69547875240835
2021-08-15 02:15:00,18.603521736033315
2021-08-15 02:30:00,18.496240023247537
2021-08-15 02:45:00,18.40939334172225
2021-08-15 03:00:00,18.381663957983733
2021-08-15 03:15:00,18.35101384383438
2021-08-15 03:30:00,18.27438812659477
2021-08-15 03:45:00,18.21526355722807
2021-08-15 04:00:00,18.162001904839656
2021-08-15 04:15:00,18.156893370321143
2021-08-15 04:30:00,18.100698996972422
2021-08-15 04:45:00,18.087542562077147
2021-08-15 05:00:00,18.029177388784547
2021-08-15 05:15:00,18.156893370321143
2021-08-15 05:30:00,18.0904817334403
2021-08-15 05:45:00,18.12330490866969
2021-08-15 06:00:00,18.100698996972422
2021-08-15 06:15:00,19.048004730600496
2021-08-15 06:30:00,19.85328951021313
2021-08-15 06:45:00,20.264741890847745
2021-08-15 07:00:00,20.549015757277573
2021-08-15 07:15:00,20.88696358704277
2021-08-15 07:30:00,21.240544739356835
2021-08-15 07:45:00,21.54826335896365
2021-08-15 08:00:00,21.84597777743727
2021-08-15 08:15:00,22.156970463460084
2021-08-15 08:30:00,22.56062206505902
2021-08-15 08:45:00,22.890284998682542
2021-08-15 09:00:00,23.191900925033902
2021-08-15 09:15:00,22.31121491081575
2021-08-15 09:30:00,22.316066716208013
2021-08-15 09:45:00,22.44496046476911
2021-08-15 10:00:00,22.583657513696664
2021-08-15 10:15:00,22.78722015672406
2021-08-15 10:30:00,23.03980469312586
2021-08-15 10:45:00,23.344113053886645
2021-08-15 11:00:00,23.649178889555344
2021-08-15 11:15:00,23.975219223600902
2021-08-15 11:30:00,24.38999993215708
2021-08-15 11:45:00,24.761472904594427
2021-08-15 12:00:00,24.50160313936817
2021-08-15 12:15:00,24.304345815904355
2021-08-15 12:30:00,24.20579362125153
2021-08-15 12:45:00,24.068468721723548
2021-08-15 13:00:00,24.08910613437144
2021-08-15 13:15:00,23.89743177282753
2021-08-15 13:30:00,23.83277744658216
2021-08-15 13:45:00,23.79907422704673
2021-08-15 14:00:00,23.89489912993349
2021-08-15 14:15:00,23.995836429648307
2021-08-15 14:30:00,23.887189643899205
2021-08-15 14:45:00,23.757802570480123
2021-08-15 15:00:00,23.67503664942717
2021-08-15 15:15:00,23.760453450193666
2021-08-15 15:30:00,23.651694443867257
2021-08-15 15:45:00,23.861305780977943
2021-08-15 16:00:00,23.843129765454933
2021-08-15 16:15:00,23.74745506177084
2021-08-15 16:30:00,23.814722981538864
2021-08-15 16:45:00,23.788848150546187
2021-08-15 17:00:00,23.75527986183704
2021-08-15 17:15:00,23.70607009005045
2021-08-15 17:30:00,24.00619759038136
2021-08-15 17:45:00,24.04246585373295
2021-08-15 18:00:00,23.99593760222126
2021-08-15 18:15:00,23.983039678630742
2021-08-15 18:30:00,23.81989833262014
2021-08-15 18:45:00,23.54577880498573
2021-08-15 19:00:00,22.95214421847959
2021-08-15 19:15:00,22.56821248838884
2021-08-15 19:30:00,22.1230921575978
2021-08-15 19:45:00,22.026087380601897
2021-08-15 20:00:00,22.07956055966963
2021-08-15 20:15:00,21.86138401778772
2021-08-15 20:30:00,21.494202190418548
2021-08-15 20:45:00,21.214912725020213
2021-08-15 21:00:00,21.078874925960065
2021-08-15 21:15:00,21.299301816511047
2021-08-15 21:30:00,21.499715767850432
2021-08-15 21:45:00,21.6019549369774
2021-08-15 22:00:00,21.63073401176865
2021-08-15 22:15:00,20.78965109116325
2021-08-15 22:30:00,20.300557506190785
2021-08-15 22:45:00,19.92715076876948
2021-08-15 23:00:00,19.82772508329782
2021-08-15 23:15:00,19.65616826509376
2021-08-15 23:30:00,19.52101205436492
2021-08-15 23:45:00,19.383022988559844
2021-08-16 00:00:00,19.25526996722527
2021-08-16 00:15:00,19.14220768333081
2021-08-16 00:30:00,19.085998123330626
2021-08-16 00:45:00,18.996910712389703
2021-08-16 01:00:00,18.95670725039224
2021-08-16 01:15:00,18.843636074859777
2021-08-16 01:30:00,18.787437691606726
2021-08-16 01:45:00,18.718817194451844
2021-08-16 02:00:00,18.59621460399672
2021-08-16 02:15:00,18.5604559752664
2021-08-16 02:30:00,18.48893906984523
2021-08-16 02:45:00,18.458289044701417
2021-08-16 03:00:00,18.332763705701552
2021-08-16 03:15:00,18.26853066080469
2021-08-16 03:30:00,18.245915997327018
2021-08-16 03:45:00,18.19558590211141
2021-08-16 04:00:00,18.156893370321143
2021-08-16 04:15:00,18.11385387786339
2021-08-16 04:30:00,18.04233667111748
2021-08-16 04:45:00,17.991251790756223
2021-08-16 05:00:00,17.967871580711403
2021-08-16 05:15:00,18.23352071532491
2021-08-16 05:30:00,18.126242010472424
2021-08-16 05:45:00,18.14080410158596
2021-08-16 06:00:00,18.08026443520407
2021-08-16 06:15:00,18.95825575932895
2021-08-16 06:30:00,19.761261402681328
2021-08-16 06:45:00,20.152192203807147
2021-08-16 07:00:00,20.385243214012743
2021-08-16 07:15:00,20.682118649507288
2021-08-16 07:30:00,21.025286165631822
2021-08-16 07:45:00,21.322578467468304
2021-08-16 08:00:00,21.56603371969516
2021-08-16 08:15:00,21.953836980287235
2021-08-16 08:30:00,22.38294032110809
