datetime,1B-El-Exhaust Fan
2021-08-16 06:45:00,-0.0024659208333333
2021-08-16 07:00:00,-0.001317525
2021-08-16 07:15:00,0.0065034356060606
2021-08-16 07:30:00,0.01158739375
2021-08-16 07:45:00,-0.0013
2021-08-16 08:00:00,0.00101185
2021-08-16 08:15:00,0.0006622868055555
2021-08-16 08:30:00,0.0009009839743589
2021-08-16 08:45:00,0.0005320006410256
2021-08-16 09:00:00,0.000874559090909
2021-08-16 09:15:00,0.0003578548611111
2021-08-16 09:30:00,2.670128205128217e-05
2021-08-16 09:45:00,0.0010333958333333
2021-08-16 10:00:00,7.386363636362547e-07
2021-08-16 10:15:00,0.0003495555555555
2021-08-16 10:30:00,-0.0005466346153846
2021-08-16 10:45:00,0.000265056060606
2021-08-16 11:00:00,0.0002856053030303
2021-08-16 11:15:00,0.0007601769230769
2021-08-16 11:30:00,0.0001969619047619
2021-08-16 11:45:00,-0.0001328763888888
2021-08-16 12:00:00,7.588012820512817e-05
2021-08-16 12:15:00,-0.0004559803030303
2021-08-16 12:30:00,-0.0007512611111111
2021-08-16 12:45:00,8.132564102564093e-05
2021-08-16 13:00:00,0.0009355369047619
2021-08-16 13:15:00,0.0038988624999999
2021-08-16 13:30:00,0.004004432051282
2021-08-16 13:45:00,0.004447106547619
2021-08-16 14:00:00,0.0051399298611111
2021-08-16 14:15:00,0.0010782097222222
2021-08-16 14:30:00,-0.0001217121794871
2021-08-16 14:45:00,0.0003487416666666
2021-08-16 15:00:00,0.0006494124999999
2021-08-16 15:15:00,0.0004778596153846
2021-08-16 15:30:00,0.0001013102564102
2021-08-16 15:45:00,0.0018720378787878
2021-08-16 16:00:00,-0.0002700152777777
2021-08-16 16:15:00,-0.0003813631944444
2021-08-16 16:30:00,0.0005178363636363
2021-08-16 16:45:00,0.0017224312499999
2021-08-16 17:00:00,0.0011634685897435
2021-08-16 17:15:00,-0.0020281791666666
2021-08-16 17:30:00,-0.0007985486111111
2021-08-16 17:45:00,-0.0005679208333333
2021-08-16 18:00:00,-0.0002602288461538
2021-08-16 18:15:00,0.0003093287878787
2021-08-16 18:30:00,0.0005034833333333
2021-08-16 18:45:00,-0.0005795871794871
2021-08-16 19:00:00,0.0008925737179487
2021-08-16 19:15:00,0.002781903030303
2021-08-16 19:30:00,0.0028881159722222
2021-08-16 19:45:00,0.0032235115384615
2021-08-16 20:00:00,0.0037696720238095
2021-08-16 20:15:00,0.0032935152777777
2021-08-16 20:30:00,0.0022476121794871
2021-08-16 20:45:00,0.0034379881944444
2021-08-16 21:00:00,0.0045059541666666
2021-08-16 21:15:00,-0.0017430045454545
2021-08-16 21:30:00,-0.0018181878205128
2021-08-16 21:45:00,-0.0019251180555555
2021-08-16 22:00:00,-0.0017869019230769
2021-08-16 22:15:00,-0.0016446517857142
2021-08-16 22:30:00,-0.0022409527777777
2021-08-16 22:45:00,-0.0013064166666666
2021-08-16 23:00:00,-0.0016018243589743
2021-08-16 23:15:00,-0.0020085265151515
2021-08-16 23:30:00,-0.0018085631944444
2021-08-16 23:45:00,-0.0021614551282051
2021-08-17 00:00:00,-0.0018502166666666
2021-08-17 00:15:00,-0.00196219375
2021-08-17 00:30:00,-0.0018155429487179
2021-08-17 00:45:00,-0.0017182999999999
2021-08-17 01:00:00,-0.0018973826388888
2021-08-17 01:15:00,-0.0018607652777777
2021-08-17 01:30:00,-0.0019339512820512
2021-08-17 01:45:00,-0.0022787184523809
2021-08-17 02:00:00,-0.0012194777777777
2021-08-17 02:15:00,-0.0011886861111111
2021-08-17 02:30:00,-0.0014164557692307
2021-08-17 02:45:00,-0.0028229256944444
2021-08-17 03:00:00,-0.0022997659722222
2021-08-17 03:15:00,-0.001829825
2021-08-17 03:30:00,-0.0010976818181818
2021-08-17 03:45:00,-0.0016563916666666
2021-08-17 04:00:00,-0.0027676185897435
2021-08-17 04:15:00,-0.0014702720238095
2021-08-17 04:30:00,-0.0012627208333333
